"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV121"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	NA
"ASV122"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Solibacterales"	"Solibacteraceae"	"Candidatus Solibacter"	NA
"ASV123"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Opitutaceae"	"Opitutus"	NA
"ASV124"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micropepsales"	"Micropepsaceae"	NA	NA
"ASV125"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus Udaeobacter"	NA
"ASV126"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus Udaeobacter"	NA
"ASV127"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	NA
"ASV128"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"ASV129"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Bryobacterales"	"Bryobacteraceae"	"Bryobacter"	NA
"ASV131"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Isosphaerales"	"Isosphaeraceae"	"Aquisphaera"	NA
"ASV133"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Vicinamibacterales"	NA	NA	NA
"ASV134"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA	NA
"ASV135"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"IMCC26256"	NA	NA	NA
"ASV136"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Acidobacteriaceae (Subgroup 1)"	"Acidipila-Silvibacterium"	NA
"ASV137"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	NA	NA
"ASV139"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Subgroup 2"	NA	NA	NA
"ASV140"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Acidobacteriaceae (Subgroup 1)"	NA	NA
"ASV141"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Vicinamibacterales"	NA	NA	NA
"ASV142"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA	NA
"ASV143"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Nakamurellaceae"	"Nakamurella"	NA
"ASV146"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Pir4 lineage"	NA
"ASV148"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Acidicaldus"	NA
"ASV149"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Acidobacteriaceae (Subgroup 1)"	"Granulicella"	NA
"ASV151"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	NA
"ASV152"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	NA	NA
"ASV153"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Afipia"	NA
"ASV155"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Roseiarcus"	NA
"ASV156"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Solibacterales"	"Solibacteraceae"	"Candidatus Solibacter"	NA
"ASV157"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"A21b"	NA	NA
"ASV159"	"Bacteria"	"Chloroflexi"	"KD4-96"	NA	NA	NA	NA
"ASV160"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Chthoniobacter"	NA
"ASV161"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Bryobacterales"	"Bryobacteraceae"	"Bryobacter"	NA
"ASV162"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	"Phormidiaceae"	"Tychonema CCAP 1459-11B"	NA
"ASV163"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	NA	NA	NA
"ASV164"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"ASV165"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Subgroup 2"	NA	NA	NA
"ASV167"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Devosiaceae"	"Devosia"	NA
"ASV169"	"Bacteria"	"Actinobacteriota"	"Thermoleophilia"	"Gaiellales"	NA	NA	NA
"ASV170"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Acidothermaceae"	"Acidothermus"	NA
"ASV171"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Puia"	NA
"ASV172"	"Bacteria"	"Chloroflexi"	"KD4-96"	NA	NA	NA	NA
"ASV173"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"ASV175"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Arenimonas"	NA
"ASV176"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus Udaeobacter"	NA
"ASV180"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Pedosphaerales"	"Pedosphaeraceae"	"ADurb.Bin063-1"	NA
"ASV182"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Ferruginibacter"	NA
"ASV183"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Bryobacterales"	"Bryobacteraceae"	"Bryobacter"	NA
"ASV184"	"Bacteria"	"Actinobacteriota"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Conexibacter"	NA
