"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Opitutales" "Opitutaceae" "Opitutus" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Micropepsales" "Micropepsaceae" NA NA
"Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus Udaeobacter" NA
"Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus Udaeobacter" NA
"Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium" NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" NA NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Bryobacterales" "Bryobacteraceae" "Bryobacter" NA
"Bacteria" "Cyanobacteria" "Cyanobacteriia" "Chloroplast" NA NA NA
"Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"Bacteria" "Myxococcota" "bacteriap25" NA NA NA NA
"Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"Bacteria" "Actinobacteriota" "Acidimicrobiia" "IMCC26256" NA NA NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Acidipila-Silvibacterium" NA
"Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" NA NA
"Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus Udaeobacter" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup 2" NA NA NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" NA NA
"Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Nakamurellaceae" "Nakamurella" NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Nitrosomonadaceae" "Ellin6067" NA
"Bacteria" "Acidobacteriota" "Holophagae" "Subgroup 7" NA NA NA
"Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" "Pir4 lineage" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Acetobacterales" "Acetobacteraceae" "Acidicaldus" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Granulicella" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" NA
"Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Afipia" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Roseiarcus" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "Candidatus Solibacter" NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "A21b" NA NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "Ramlibacter" NA
"Bacteria" "Chloroflexi" "KD4-96" NA NA NA NA
"Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Chthoniobacter" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Bryobacterales" "Bryobacteraceae" "Bryobacter" NA
"Bacteria" "Cyanobacteria" "Cyanobacteriia" "Cyanobacteriales" "Phormidiaceae" "Tychonema CCAP 1459-11B" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" NA NA NA
"Bacteria" "Cyanobacteria" "Cyanobacteriia" "Chloroplast" NA NA NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup 2" NA NA NA
"Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Xiphinematobacteraceae" "Candidatus Xiphinematobacter" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Devosiaceae" "Devosia" NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Micrococcales" "Cellulomonadaceae" "Cellulomonas" NA
"Bacteria" "Actinobacteriota" "Thermoleophilia" "Gaiellales" NA NA NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Puia" NA
"Bacteria" "Chloroflexi" "KD4-96" NA NA NA NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" NA NA NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "Caenimonas" NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Arenimonas" NA
"Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus Udaeobacter" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Pedosphaerales" "Pedosphaeraceae" "ADurb.Bin063-1" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA NA
"Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Ferruginibacter" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Bryobacterales" "Bryobacteraceae" "Bryobacter" NA
"Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Conexibacter" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Koribacteraceae" "Candidatus Koribacter" NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" NA NA NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "Candidatus Solibacter" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Granulicella" NA
"Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Edaphobaculum" NA
"Bacteria" "Planctomycetota" "Planctomycetes" "Gemmatales" "Gemmataceae" NA NA
"Bacteria" "Planctomycetota" "Planctomycetes" "Planctomycetales" NA NA NA
"Bacteria" "Firmicutes" "Bacilli" "Bacillales" NA NA NA
